interfaceFqn	status	reason	path
org.apache.hadoop.yarn.server.records.VersionJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/records/VersionJVMInterface.java
org.apache.hadoop.metrics2.MetricsInfoJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics2/MetricsInfoJVMInterface.java
org.apache.hadoop.yarn.api.protocolrecords.GetQueueInfoRequestJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetQueueInfoRequestJVMInterface.java
org.apache.hadoop.yarn.server.federation.store.records.GetApplicationsHomeSubClusterResponseJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/records/GetApplicationsHomeSubClusterResponseJVMInterface.java
org.apache.hadoop.metrics2.lib.MutableRateJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics2/lib/MutableRateJVMInterface.java
org.apache.hadoop.fs.ByteBufferReadableJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/ByteBufferReadableJVMInterface.java
org.apache.hadoop.yarn.server.federation.store.records.AddApplicationHomeSubClusterRequestJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/records/AddApplicationHomeSubClusterRequestJVMInterface.java
org.apache.hadoop.yarn.api.records.QueueStatisticsJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/QueueStatisticsJVMInterface.java
org.apache.hadoop.yarn.api.protocolrecords.GetApplicationsRequestJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetApplicationsRequestJVMInterface.java
org.apache.hadoop.yarn.server.resourcemanager.federation.FederationStateStoreServiceJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/federation/FederationStateStoreServiceJVMInterface.java
org.apache.hadoop.fs.PathJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/PathJVMInterface.java
